SRR          CE              FP               GO              IOGA  NP  OA
SRR1945630:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945631:  ERROR           ERROR            ERROR           -     -   -
SRR1945632:  ERROR           INCOMPLETE_low   -               -     -   -
SRR1945634:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945635:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945636:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945638:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945639:  ERROR           INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945640:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945641:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945642:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945643:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945644:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945645:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945646:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945647:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945648:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945649:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945650:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945651:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945653:  ERROR           INCOMPLETE_low   -               -     -   -
SRR1945654:  ERROR           INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945655:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945657:  ERROR           INCOMPLETE_low   -               -     -   -
SRR1945658:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945659:  ERROR           INCOMPLETE_low   ERROR           -     -   -
